tags,tag_count,similar_tracks,tracks_count
Two Princes,81.0,I Wanna Dance with Somebody (Who Loves Me),138
Poem,81.0,ICU,137
Fever,81.0,Dino-J),137
rock ballad,81.0,Use Somebody,137
911,81.0,Poppin,137
hypnotic,81.0,There's Nothing Holdin' Me Back,137
ost,81.0,Pick Up The Phone,137
jazzy,81.0,Buckubucku (Feat. EE,137
names,81.0,m y . l i f e (with 21 Savage & Morray),137
single,81.0,Deeper Well,137
best of 2013,81.0,Kody Blu 31,137
Iconic,81.0,2009,137
4,81.0,Cudi Montage,137
Diet Mountain Dew,81.0,Yes Indeed,137
girl power,80.0,RM Of BTS,137
Heartbreaking,80.0,(Dream),136
Gothic,80.0,From the D to the A (feat. Lil Yachty),136
Makes Me Smile,80.0,Bills,136
2014 single,80.0,E. Coli (feat. Earl Sweatshirt),136
inspirational,80.0,Brackish,136
Post punk,80.0,Harleys in Hawaii,136
drugs,80.0,Butterfly,136
radio friendly stylings,80.0,Where Is My Mind?,136
lol,80.0,Scott Street,136
upbeat lyrics,80.0,Get You (feat. Kali Uchis),136
2015 single,80.0,Bounce Out With That,136
wow,79.0,Both (feat. Drake),136
dramatic,79.0,Barracuda,136
west coast,79.0,Spinnin,136
Tyler,79.0,Easy,135
eclectonia,79.0,Boy With Luv (Feat. Halsey),135
Rolling in the Deep,79.0,Made For Me,135
The Weeknd,79.0,Lose You To Love Me,135
radioultra,79.0,Free,135
latin pop,79.0,LA DI DA,135
Snot,79.0,Awkward,135
brutal,79.0,You Really Got Me,134
flower,79.0,Island in the Sun,134
Judith,78.0,Ride,134
Adorn,78.0,Scars To Your Beautiful,134
Livin' on a Prayer,78.0,Have You Ever Seen the Rain,134
Your Love,78.0,Sultans of Swing,134
rapcore,78.0,Look Alive (feat. Drake),134
The Joker,77.0,Dirty Little Secret,134
handclaps,77.0,Forgive Me,134
one hit wonder,77.0,Sucker,133
Just Like Heaven,77.0,not a lot,133
I could listen to this song forever,77.0,BBoom BBoom,133
Knockin' on Heaven's Door,77.0,2008,133
Control,77.0,just forever,133
Rock And Roll All Nite,76.0,New Rules,133
favorite tracks,76.0,More Than a Feeling,133
paired vocal harmony,76.0,Just,133
Bad Romance,76.0,Sunshine of Your Love,133
Too Good at Goodbyes,76.0,Selfish,133
top,76.0,Back In Blood (feat. Lil Durk),133
Sophisti-Pop,76.0,Doo Wop (That Thing),133
covers,76.0,High School,132
home,76.0,We Can't Stop,132
20s,76.0,Slide,132
Oh My God,76.0,Perfect Places,132
Legendary,76.0,Keep Driving,132
life,75.0,one night only,132
me,75.0,Cry Baby,132
albums I own,75.0,Deeper,131
Mississippi Queen,75.0,(Don't Fear) The Reaper,131
crazy,75.0,The Grinch,131
future bass,75.0,S&M,131
Carry on Wayward Son,74.0,Happier Than Ever,131
National Anthem,74.0,Your Teeth in My Neck,131
Highway to Hell,74.0,Praise The Lord (Da Shine) [feat. Skepta],131
chillwave,74.0,Starting Over,131
wake-up song,74.0,Don't Bring Me Down,131
positive,74.0,Find a Topic (homies begged),130
Roller Coaster,74.0,Surrender,130
I Wonder,74.0,Jumpsuit,130
Summertime Sadness,74.0,Fantasy,130
East Coast,74.0,Hypnotize,130
hip hop tag,74.0,Mirage,130
remix,74.0,Fluorescent Adolescent,130
Harvest Moon,73.0,You're Not the Only One I Know,130
Full Moon,73.0,We Don't Trust You,130
